Local/Regional government,Country,Project/Initiative,Featured in,Source,Link
Cuenca,Ecuador,SDG City Tales,Stories,https://sdglocalaction.org/sdg-city-tales/,
Sharm El-Sheikh,Egypt,small-scale Photovoltaic or PV systems,Stories,https://sdglocalaction.org/cities-against-climate-change/,https://www.undp.org/egypt/stories/transforming-egypts-energy-market
/,eSwatini,“Connecting the Dots” initiative,Stories,https://sdglocalaction.org/african-women-local-development/,https://www.clgf.org.uk/regions/clgf-southern-africa/clgf-southern-africa-programmes/connecting-the-dots-stories-of-change/
Pigg’s Peak,eSwatini,“Connecting the Dots” initiative,Stories,https://sdglocalaction.org/african-women-local-development/,https://www.clgf.org.uk/regions/clgf-southern-africa/clgf-southern-africa-programmes/connecting-the-dots-stories-of-change/
Addis Ababa,Ethiopia,Africa Urban Forum,Stories,https://sdglocalaction.org/africa-urban-forum/,https://au.int/en/newsevents/africa-urban-forum
Hawassa,Ethiopia,Our City Plan,Stories,https://sdglocalaction.org/our-city-plans/,http://o%09https:/ourcityplans.org/planning-experiences/sustainable-development-hawassa-city-cluster
Nadi,Fiji,Integrated Urban Resilience in Small Island Developing States and Coastal Cities,Stories,https://sdglocalaction.org/iur-sids/,https://www.sparkblue.org/system/files/2023-06/state%20of%20play%20--%20iur-sids%20nadi%20fiji_hqp.pdf
Poitiers,France,/,City Talks: Leaving No One Behind: Lessons in Inclusive Urban Transport from The Cities of Hermosillo and Canelones ,https://sdglocalaction.org/lnob-in-cities/,
Strasbourg,France,Circular Economy Roadmap,Stories,https://sdglocalaction.org/strasbourgs-circular-economy/,https://sdglocalaction.org/wp-content/uploads/2024/05/The-Circular-Economy.pdf
Banjul city,Gambia,Vegetable and fish facility,Stories,https://sdglocalaction.org/banjuls-mayor-opens-new-vegetable-and-fish-facility-at-albert-market/,https://thepoint.gm/africa/gambia/headlines/mayor-lowe-inaugurates-new-vegetable-and-fish-facility-for-women
Jarra Sukuta,Gambia,REFELA,Stories,https://sdglocalaction.org/a-new-water-project-for-women-in-jarra-sukuta-gambia/,https://alkambatimes.com/refela-addresses-water-shortage-for-horticultural-producers-in-lrr/
Dortmund,Germany,The She for Democracy initiative,SDG Local Solutions series: Getting Women Involved in Managing Cities,https://sdglocalaction.org/women-managing-cities/,https://www.dortmund.de/themen/gleichstellung-frauen-und-lsbtiq/gleichstellung/kampagne-she-for-democracy/
Kumasi,Ghana,GMC Water sanitation project,SDG Local Solutions series: African cities innovatingi public service delivery: the cases of Kumasi (Ghana) and Kigali (Rwanda),https://sdglocalaction.org/building-resilient-cities/,https://sdglocalaction.org/kumasi-guideline/
Kumasi,Ghana,"Under the She for Democracy framework
- Capacity building
- Publicity on KPIs
- Co-creating solutions
- Raising Awareness",SDG Local Solutions series: Getting Women Involved in Managing Cities,https://sdglocalaction.org/women-managing-cities/,
Kumasi,Ghana,The Kumasi Sanitation Solutions,SDG Local Solutions series: A Tale of Two Cities: Kumasi and Kigali,https://sdglocalaction.org/kumasi-kigali/,https://sdglocalaction.org/wp-content/uploads/2023/08/Final-presentation-for-Kumasi.pdf
Kumasi,Ghana,Kumasi revolving fund sanitation project,Stories,https://sdglocalaction.org/kumasi-city-advances-on-sanitation-solution/,
Wa East District,Ghana,SDG localization initiatives,Stories,https://sdglocalaction.org/wa-east-district-ghana/,https://sdglocalaction.org/wp-content/uploads/2023/12/SDG-Localisation-in-Ghana-edited-final.pdf
Accra,Ghana,Accra Metropolitan Assembly Smart Sustainable Development Goals (SDGs) Cities Implementation Committee,Stories,https://sdglocalaction.org/accra-smart-sdg-cities-committee/,
Guatemala City,Guatemala,Solar Tuk Tuk,SDG Local Solutions series: Latin America Cities Innovate Urban Waste and Mobility,https://sdglocalaction.org/latin-america-cities-innovate-urban-waste-and-mobility/,https://sdglocalaction.org/guatemalas-solar-tuk-tuk-innovating-from-the-grassroots-to-achieve-sdgs/
Ahmedabad,India,"Urban flood resilience strategies
- In collaboration with ICLEI",SDG Local Solutions series: Urban Flood Recovery Strategies In The Cities Of Ahmedabad and Port Louis,https://sdglocalaction.org/flood-recovery-learnings/,https://southasia.iclei.org
Bengaluru,India,"Public bicycle-sharing system (PBS)
Micro-mobility system (SMMS)","SDG Local Solutions series: Electric Bicycles, the Solution for Urban Mobility?",https://sdglocalaction.org/ebikes-for-urban-mobility/,
Rourkela,India,The Rourkela cold storage project,SDG Local Solutions series: Municipal Solutions for Storage and Selling Fresh Food Products,https://sdglocalaction.org/municipal-solutions-for-selling-fresh-products/,https://sdglocalaction.org/rourkela-cold-rooms/
Rourkela,India,Cold rooms,SDG Local Solutions series: Connecting Farmers and Local Food Systems – Butuan and Rourkela,https://sdglocalaction.org/connecting-farmers-and-local-food-systems-butuan-and-rourkela/,https://sdglocalaction.org/wp-content/uploads/2023/09/Rourkela.pdf
Tinsuika,India,"Zero-Waste, Zero-Hunger initiative",Stories,https://sdglocalaction.org/zero-waste-zero-hunger-tinsukia/,
Rourkela,India,Women self-help groups,"SDG Local Solutions series: Empowering women and reducing food waste: the Cold Room project in Rourkela, India",https://sdglocalaction.org/empowering-women-rourkela/,
Rourkela,India,The Cold Room project,"SDG Local Solutions series: Empowering women and reducing food waste: the Cold Room project in Rourkela, India",https://sdglocalaction.org/empowering-women-rourkela/,https://sdglocalaction.org/guideline-rourkela-india/
Jaipur,India,U.S. – South Asia Mayoral Platform on Sustainable Cities at South Asia Clean Energy Forum,Stories,https://sdglocalaction.org/us-sa-mayoral-platform/,https://sarepenergy.net/about-sacef-2024/
/,Indonesia,the MELAYANI programme,Stories,https://sdglocalaction.org/public-service-delivery-improvement/,https://batukarinfo.com/install.php
Dublin,Ireland,"Smart Cities initiative
- Drone program",SDG Local Solutions series: Mapping Cities With Drones: The Experiences Of Dublin and Freetown,https://sdglocalaction.org/drones-map-cities/,https://smartdublin.ie/dublin-city-drone-strategy/
Turin,Italy,"First Life
CommonsHud",SDG Local Solutions series: Digital Participatory Tools: The Experiences Of Turin And Montevideo,https://sdglocalaction.org/digital-participatory-tools-2/,"First Life: https://www.firstlife.org/
CommonsHud: https://www.commonshood.eu/"
Venice,Italy,Venice Mobility Agency,SDG Local Solutions series: Moving by Water: The Experiences Of Venice and New York City ,https://sdglocalaction.org/moving-by-water/,https://avm.avmspa.it/en
Venice,Italy,Venice Architecture Biennale,Stories,https://sdglocalaction.org/venice-2025-biennale/,https://www.labiennale.org/en/architecture/2025
Kingston,Jamaica,CityAdapt: Building climate resilience of urban systems through Ecosystem-based Adaptation (EbA) in Latin America and the Caribbean,Stories,https://sdglocalaction.org/reforestation-cases/,https://www.unep.org/ecosystem-based-adaptation-el-salvador-jamaica-and-mexico
Yokohama,Japan,Smart City initiative,Stories,https://sdglocalaction.org/op-ed-shaping-cities/,https://www.city.yokohama.lg.jp/lang/overseas/climatechange/contents/energypolicy/yscp.html
Greater Amman Municipality,Jordan,Amman in Listening,SDG Local Solutions series: Using Data Platforms for Local Decision-Making,https://sdglocalaction.org/using-data-platforms-for-local-decision-making-2/,https://sdglocalaction.org/amman-is-listening/
